Reported Subsectors,CO2,Methane (CH4),Nitrous Oxide (N2O),HFC,PFC,SF6,NF3,Other Fully Fluorinated GHG,HFE,Very Short-lived Compounds,Non-Fluorinated Chemicals,Minerals,Electronics Manufacturing,year,state,Waste/Metals/Pulp and Paper/Miscellaneous Combustion,Power Plants/Petroleum and Natural Gas Systems
Other Petroleum and Natural Gas Systems,30273.4,14.25,16.986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,NY,0.0,30304.636
Power Plants,31690743.9,29457.525,47833.17200000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,NY,0.0,31768034.59700001
Pulp and Paper Manufacturing,88509.1,541.25,2726.402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,NY,91776.75200000001,0.0
Solid Waste Combustion,1112889.0,24834.5,38854.13400000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,NY,1176577.634,0.0
Underground Natural Gas Storage,23943.8,25130.5,13.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,NY,0.0,49087.71
Universities,556605.9,327.0,498.8520000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,NY,557431.752,0.0
Aluminum Production,48805.0,4.25,5.066,0.0,2708.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,NY,51523.236,0.0
"Aluminum Production, Industrial Landfills",230393.7,8874.5,29.8,0.0,16343.063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,NY,255641.063,0.0
Cement Production,620426.8,422.75,713.4119999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,621562.962,0.0,2016,NY,0.0,0.0
"CO2 Capture, Ethanol Production",119095.2,56.0,66.752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,NY,119217.952,0.0
"CO2 Capture, Ethanol Production, Wastewater Treatment",78924.4,84.75,45.296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,NY,79054.446,0.0
"CO2 Capture, Food Processing",32409.3,24.25,39.634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,NY,32473.184,0.0
Electronics Manufacturing,131137.2,66.25,17603.158,744.5599,54416.111394,1340.64,10148.0,73378.0,228.3066,8.1e-06,0.0,0.0,289062.2259021,2016,NY,0.0,0.0
Ferroalloy Production,207926.6,911.75,0.298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,NY,208838.648,0.0
Food Processing,273341.2,150.75,198.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,NY,273690.12,0.0
Glass Production,352928.7,127.5,151.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353208.18,0.0,2016,NY,0.0,0.0
Hydrogen Production,31932.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31932.6,0.0,0.0,2016,NY,0.0,0.0
"Industrial Landfills, Other Manufacturing",124295.6,1126.0,69.732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,NY,125491.332,0.0
"Industrial Landfills, Pulp and Paper Manufacturing",202128.0,51520.5,1498.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,NY,255147.44,0.0
Iron and Steel Production,147286.1,33.25,51.256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,NY,147370.606,0.0
