year,iso_3166_2,total
2016,OH,117708693.90200002
2017,OH,117275001.67900002
2018,OH,113979916.02080001
2019,OH,104748181.58799998
2020,OH,103383483.47100002
2011,OK,72210425.02837738
2012,OK,71146074.69690572
2013,OK,68972269.83800001
2014,OK,67276346.34500001
2015,OK,64525463.84413001
2016,OK,59781615.677999996
2017,OK,54914737.631000005
2018,OK,57917671.95922593
2019,OK,51514518.89941585
2020,OK,48686252.32299222
2011,OR,10694843.883905403
2012,OR,11398260.464804798
2013,OR,13390889.064201403
2014,OR,12608932.890480997
2015,OR,13145004.258159302
2016,OR,12176987.7306034
2017,OR,11956589.793642
2018,OR,12840083.104892997
2019,OR,15125488.165520998
2020,OR,13573072.188617999
2011,PA,154034990.45851812
2012,PA,144480606.8027435
2013,PA,146152495.64499995
2014,PA,138235552.719
2015,PA,128911820.78972998
2016,PA,120701038.57475999
2017,PA,116234628.9297
2018,PA,113803265.48559101
2019,PA,115057349.4597429
2020,PA,104655777.01393996
2011,RI,4086826.268000001
2012,RI,4013539.132
2013,RI,3030877.2939999998
2014,RI,2994200.0500000003
2015,RI,3299446.792000001
2016,RI,3029614.75
2017,RI,3389205.773
2018,RI,3682083.374999999
2019,RI,3361309.323
2020,RI,3635051.385999999
2011,SC,48257711.273
2012,SC,43844893.117412
2013,SC,38201942.128
2014,SC,42785949.841
2015,SC,39642121.49699999
2016,SC,37651158.76800001
2017,SC,34185907.69299999
2018,SC,38160447.397999994
2019,SC,33725865.011
2020,SC,32087953.235999998
2011,SD,5576654.506
2012,SD,5660500.930000001
2013,SD,6016246.166
2014,SD,6200910.522
2015,SD,4856557.968
2016,SD,5594031.316
2017,SD,5476551.978
2018,SD,5824404.304
2019,SD,6370025.193999999
2020,SD,5229232.026
2011,TN,56299028.48048101
2012,TN,54242457.43474599
2013,TN,50560635.934
2014,TN,53477639.034
2015,TN,48872020.923
2016,TN,50747636.619
2017,TN,47661039.58100001
2018,TN,42056669.57100001
2019,TN,40147535.201
2020,TN,34340583.689
2011,TX,408120878.18278545
2012,TX,394541860.33901036
2013,TX,406297893.9553795
2014,TX,407802606.8723456
2015,TX,397261403.80423653
2016,TX,386939426.276887
2017,TX,390669796.98854214
2018,TX,391607857.8191428
2019,TX,383718169.0235124
2020,TX,360466024.91642296
2011,UT,42883632.933860175
2012,UT,41273157.438249975
2013,UT,44497026.2607223
2014,UT,43626013.1234023
2015,UT,42364026.606267706
2016,UT,36069519.014289595
2017,UT,35699060.2856545
2018,UT,36335926.3459373
2019,UT,36135785.521756105
2020,UT,33311127.751848992
2011,VA,45847335.48643321
2012,VA,42364974.28506131
2013,VA,47587963.21434569
2014,VA,46404828.79272041
2015,VA,46796363.26583909
2016,VA,49315102.5263108
2017,VA,44416343.917571306
2018,VA,45522564.0778213
2019,VA,42580319.10526691
2020,VA,44012248.902699195
2011,VT,662926.6496000001
2012,VT,614619.9169
2013,VT,531110.7241999999
2014,VT,503565.76888
2015,VT,507058.449242
2016,VT,457447.005228
2017,VT,434819.0993
2018,VT,440286.320627
2019,VT,466993.141656
2020,VT,436805.729342
2011,WA,20732199.540500004
